payment_id,student_id,subject_id,date_id,currency,amount_original,exchange_rate,amount_converted_pkr,payment_method_id,invoice_sent
85,50,76,1546,OMR,424.97,4.94,2099.35,3,True
86,360,44,1174,KWD,209.91,3.71,778.77,1,False
87,388,4,1111,OMR,332.45,4.69,1559.19,5,True
88,2,36,1307,USD,471.14,3.09,1455.82,2,True
89,390,48,1339,KWD,412.42,2.71,1117.66,6,True
90,54,14,1079,OMR,429.9,4.5,1934.55,3,True
91,106,49,1477,USD,341.33,3.74,1276.57,5,False
92,260,67,1110,SAR,423.51,3.16,1338.29,7,True
93,310,77,1486,AED,401.65,2.99,1200.93,6,True
94,477,9,1452,USD,240.11,5.12,1229.36,8,False
95,191,21,1412,KWD,227.34,3.54,804.78,3,False
96,402,72,1603,AED,252.97,4.98,1259.79,5,True
97,218,16,1185,AED,223.86,3.02,676.06,7,False
98,44,16,1552,USD,373.39,3.88,1448.75,2,False
99,162,28,1086,SAR,489.57,3.81,1865.26,2,True
100,202,51,1223,USD,432.06,3.19,1378.27,1,True
101,446,56,1050,OMR,423.58,3.09,1308.86,7,True
102,484,57,1125,OMR,449.02,3.99,1791.59,6,False
103,270,52,1145,OMR,470.36,3.86,1815.59,7,True
104,351,46,1040,KWD,291.2,4.85,1412.32,8,True
105,304,78,1354,USD,227.06,3.92,890.08,6,True
106,271,38,1444,AED,425.4,3.49,1484.65,6,False
107,456,48,1362,KWD,328.05,3.94,1292.52,6,False
108,462,41,1535,OMR,483.61,5.25,2538.95,3,True
109,215,59,1283,KWD,480.04,2.95,1416.12,5,False
110,252,67,1035,AED,492.23,5.25,2584.21,6,False
111,190,74,1276,KWD,432.45,4.59,1984.95,3,True
112,296,66,1695,SAR,383.86,4.5,1727.37,6,True
113,213,27,1324,OMR,430.08,3.8,1634.3,3,True
114,208,32,1665,USD,282.57,3.58,1011.6,6,False
115,237,56,1181,OMR,200.66,4.74,951.13,2,True
116,338,10,1470,OMR,338.3,4.33,1464.84,4,False
117,367,40,1416,USD,391.91,4.46,1747.92,2,True
118,53,17,1665,USD,451.68,4.36,1969.32,1,False
119,280,58,1149,AED,215.23,2.68,576.82,6,False
120,410,6,1403,AED,213.72,4.05,865.57,5,False
121,217,39,1513,SAR,481.01,3.58,1722.02,4,True
122,252,18,1565,KWD,260.39,4.91,1278.51,4,False
123,188,73,1440,KWD,406.48,4.27,1735.67,8,True
124,380,72,1245,KWD,244.07,3.81,929.91,4,True
125,493,42,1045,OMR,470.35,5.48,2577.52,6,True
126,41,4,1074,OMR,424.41,4.52,1918.33,5,False
127,157,20,1148,USD,216.34,5.15,1114.15,5,False
128,15,28,1405,SAR,281.66,5.26,1481.53,6,False
129,301,40,1002,SAR,490.94,4.73,2322.15,6,True
130,65,65,1008,KWD,453.87,3.76,1706.55,2,False
131,345,44,1513,USD,214.3,3.98,852.91,1,True
132,327,23,1237,KWD,292.19,2.97,867.8,6,False
133,9,57,1539,OMR,298.68,4.35,1299.26,8,True
134,344,47,1289,USD,343.92,4.04,1389.44,7,False
135,129,13,1180,KWD,282.77,3.14,887.9,5,False
136,492,16,1314,SAR,448.81,2.62,1175.88,5,False
137,136,55,1265,AED,341.25,5.11,1743.79,4,False
138,472,65,1082,OMR,203.77,2.59,527.76,6,True
139,63,16,1257,KWD,316.86,3.64,1153.37,5,False
140,139,37,1559,USD,377.89,4.18,1579.58,8,True
141,499,52,1645,USD,397.78,4.09,1626.92,3,True
142,81,10,1198,KWD,228.9,4.1,938.49,7,True
143,392,38,1291,SAR,349.19,3.18,1110.42,7,False
144,163,44,1647,KWD,329.11,3.49,1148.59,8,True
145,419,74,1082,OMR,252.79,2.52,637.03,4,True
146,289,54,1265,USD,254.07,5.27,1338.95,4,True
147,379,51,1416,OMR,491.91,4.32,2125.05,4,True
148,261,52,1730,AED,324.05,4.96,1607.29,1,True
149,490,70,1018,SAR,392.09,4.67,1831.06,2,False
150,231,59,1529,KWD,261.86,4.19,1097.19,1,True
151,41,13,1370,KWD,486.94,4.04,1967.24,2,False
152,28,41,1690,SAR,484.03,3.84,1858.68,7,True
153,135,12,1022,USD,438.05,4.16,1822.29,7,False
154,201,50,1384,KWD,330.85,3.11,1028.94,6,True
155,328,57,1618,SAR,324.56,3.69,1197.63,6,False
156,268,50,1642,KWD,466.94,4.15,1937.8,1,False
157,418,57,1521,USD,460.61,4.7,2164.87,7,True
158,33,54,1378,SAR,477.37,4.86,2320.02,6,True
159,48,66,1710,USD,281.96,5.09,1435.18,2,True
160,407,8,1089,KWD,398.65,3.55,1415.21,3,False
161,62,63,1143,SAR,401.53,4.27,1714.53,6,False
162,216,9,1620,AED,308.0,4.11,1265.88,2,False
163,293,60,1203,KWD,228.37,3.71,847.25,7,True
164,99,63,1555,SAR,231.32,3.51,811.93,8,True
165,172,72,1519,AED,452.87,2.53,1145.76,5,True
166,360,3,1391,SAR,302.52,3.03,916.64,2,False
167,214,73,1300,OMR,467.12,2.91,1359.32,3,False
168,475,13,1504,OMR,285.89,3.4,972.03,3,False
169,35,9,1152,SAR,260.8,3.58,933.66,3,True
170,449,52,1528,SAR,317.86,3.34,1061.65,8,True
171,227,62,1338,OMR,417.19,4.88,2035.89,1,True
172,101,8,1511,KWD,386.06,3.09,1192.93,6,True
173,431,45,1334,OMR,245.05,3.29,806.21,6,True
174,462,53,1508,OMR,494.34,4.01,1982.3,3,True
175,131,63,1055,OMR,493.53,3.35,1653.33,6,True
176,257,57,1555,USD,281.57,5.19,1461.35,6,False
177,5,54,1550,KWD,359.03,4.34,1558.19,5,True
178,218,19,1129,USD,268.28,3.51,941.66,7,False
179,255,67,1097,KWD,497.66,3.86,1920.97,2,True
180,398,46,1421,USD,304.49,3.77,1147.93,5,False
181,359,10,1079,USD,470.59,5.17,2432.95,2,True
182,283,18,1287,SAR,328.71,4.25,1397.02,8,True
183,393,12,1168,OMR,414.87,3.62,1501.83,3,False
184,207,49,1078,SAR,471.62,3.99,1881.76,2,False
185,15,23,1070,SAR,386.36,3.59,1387.03,1,False
186,346,62,1262,SAR,269.27,4.81,1295.19,4,False
187,42,11,1711,AED,439.27,2.56,1124.53,1,False
188,380,73,1722,KWD,472.67,3.99,1885.95,7,False
189,461,56,1529,SAR,226.73,3.24,734.61,5,True
190,179,55,1209,SAR,312.0,3.2,998.4,8,False
191,63,25,1116,AED,497.79,3.06,1523.24,3,True
192,352,9,1615,AED,395.56,4.0,1582.24,4,True
193,231,12,1076,OMR,252.25,2.82,711.34,8,False
194,241,11,1314,SAR,452.92,4.06,1838.86,6,True
195,52,38,1010,KWD,341.33,4.31,1471.13,1,False
196,96,28,1050,SAR,458.55,5.2,2384.46,3,False
197,388,8,1006,OMR,429.05,4.8,2059.44,4,True
198,222,74,1548,SAR,416.63,4.45,1854.0,5,False
199,485,47,1260,AED,281.07,4.92,1382.86,1,False
200,407,36,1573,AED,367.53,3.55,1304.73,3,False
201,231,50,1511,OMR,456.59,4.1,1872.02,4,False
202,237,9,1199,OMR,456.27,2.76,1259.31,4,False
203,143,60,1329,AED,251.17,4.07,1022.26,4,True
204,171,72,1089,AED,320.34,3.67,1175.65,1,True
205,29,67,1590,SAR,337.96,5.24,1770.91,5,True
206,36,53,1054,OMR,344.26,3.41,1173.93,5,True
207,13,17,1220,SAR,337.36,4.56,1538.36,6,False
208,160,53,1091,AED,228.79,4.56,1043.28,2,False
209,327,28,1585,KWD,471.06,4.64,2185.72,2,True
210,187,63,1055,OMR,434.44,4.54,1972.36,8,False
211,243,15,1178,SAR,329.39,5.15,1696.36,5,True
212,86,19,1060,OMR,485.39,4.29,2082.32,8,True
213,284,70,1116,KWD,362.42,5.07,1837.47,3,True
214,66,47,1589,USD,217.38,4.52,982.56,4,False
215,170,71,1235,AED,332.95,5.14,1711.36,3,True
216,45,48,1032,KWD,261.92,4.69,1228.4,3,False
217,62,73,1566,USD,499.45,3.87,1932.87,3,False
218,441,20,1242,SAR,237.2,3.31,785.13,6,False
219,134,37,1073,KWD,291.86,5.23,1526.43,7,False
220,284,75,1020,USD,403.48,2.9,1170.09,4,True
221,28,2,1712,KWD,267.01,5.11,1364.42,3,True
222,108,64,1153,USD,233.67,4.46,1042.17,1,True
223,44,36,1253,SAR,315.77,4.33,1367.28,3,False
224,340,5,1206,SAR,468.64,4.11,1926.11,5,True
225,286,64,1148,SAR,373.15,3.38,1261.25,1,False
226,446,7,1694,SAR,423.71,4.32,1830.43,7,True
227,331,70,1301,SAR,285.5,3.93,1122.02,2,False
228,128,22,1296,USD,467.88,3.7,1731.16,3,True
229,348,74,1490,SAR,368.23,4.42,1627.58,8,True
230,473,46,1043,KWD,306.17,2.75,841.97,5,False
231,231,40,1143,KWD,396.53,4.31,1709.04,6,True
232,190,61,1243,SAR,322.08,5.49,1768.22,1,True
233,225,46,1418,KWD,283.17,2.63,744.74,6,True
234,385,28,1516,SAR,430.03,3.92,1685.72,4,False
235,377,35,1061,KWD,232.32,3.86,896.76,3,True
236,283,1,1537,OMR,399.17,2.72,1085.74,2,False
237,446,29,1316,AED,357.62,3.98,1423.33,5,True
238,121,9,1434,KWD,354.07,2.95,1044.51,6,True
239,116,9,1695,KWD,302.75,4.97,1504.67,1,True
240,461,22,1380,AED,282.51,5.2,1469.05,4,True
241,233,63,1035,OMR,407.09,4.97,2023.24,1,False
242,259,66,1541,AED,443.26,5.28,2340.41,4,False
243,359,58,1580,KWD,315.87,4.44,1402.46,5,False
244,198,70,1231,SAR,243.26,5.03,1223.6,1,True
245,456,55,1687,OMR,206.45,4.0,825.8,1,True
246,411,13,1032,KWD,373.93,4.87,1821.04,6,False
247,137,19,1580,SAR,275.01,5.34,1468.55,1,True
248,318,33,1351,SAR,323.87,3.64,1178.89,7,True
249,165,74,1254,OMR,367.18,5.0,1835.9,5,False
250,225,65,1049,KWD,417.07,3.92,1634.91,7,False
251,307,60,1022,USD,327.06,4.34,1419.44,7,False
252,234,12,1253,SAR,410.76,5.15,2115.41,1,True
253,172,43,1393,AED,474.07,5.14,2436.72,6,False
254,152,17,1675,USD,283.2,4.73,1339.54,7,True
255,463,68,1272,AED,409.08,3.44,1407.24,8,True
256,315,29,1692,OMR,291.19,2.76,803.68,8,True
257,374,55,1249,SAR,220.39,5.46,1203.33,8,True
258,160,7,1236,SAR,224.83,4.21,946.53,6,False
259,96,44,1231,OMR,410.71,2.83,1162.31,7,True
260,472,77,1427,SAR,244.79,5.38,1316.97,8,False
261,233,5,1633,USD,498.96,3.87,1930.98,1,True
262,180,60,1241,USD,363.08,5.39,1957.0,1,False
263,113,6,1133,OMR,293.75,3.6,1057.5,3,False
264,318,7,1070,KWD,381.57,5.23,1995.61,1,False
265,497,46,1464,SAR,227.03,5.06,1148.77,6,True
266,442,57,1420,USD,215.85,3.91,843.97,5,True
267,52,54,1309,AED,361.13,3.44,1242.29,5,True
268,268,46,1278,SAR,253.8,4.72,1197.94,7,True
269,295,10,1218,USD,221.77,5.05,1119.94,1,True
270,386,4,1696,USD,388.38,2.63,1021.44,8,False
271,387,67,1306,USD,334.68,3.17,1060.94,4,True
272,113,25,1313,KWD,349.12,3.79,1323.16,1,False
273,101,78,1402,OMR,429.3,3.12,1339.42,3,False
274,113,61,1728,KWD,406.42,3.31,1345.25,2,False
275,440,38,1487,AED,441.65,4.04,1784.27,7,True
276,81,32,1404,AED,226.53,3.65,826.83,2,False
277,187,23,1378,OMR,224.68,5.3,1190.8,3,True
278,113,37,1280,OMR,373.13,5.03,1876.84,4,True
279,2,3,1636,USD,476.87,3.12,1487.83,8,True
280,130,13,1690,AED,423.85,5.34,2263.36,1,True
281,220,34,1326,USD,410.4,3.15,1292.76,1,False
282,54,65,1034,OMR,306.2,4.29,1313.6,8,True
283,343,76,1069,AED,370.74,3.42,1267.93,7,False
284,485,8,1359,USD,408.85,3.35,1369.65,5,False
285,224,9,1689,SAR,351.62,4.12,1448.67,6,False
286,225,28,1407,SAR,269.19,5.34,1437.47,1,False
287,385,78,1560,USD,403.67,3.76,1517.8,3,False
288,403,18,1579,KWD,354.57,3.34,1184.26,6,True
289,126,42,1518,USD,274.98,3.25,893.68,8,True
290,130,41,1605,AED,358.33,3.43,1229.07,1,True
291,53,70,1383,OMR,302.86,3.83,1159.95,8,False
292,172,33,1080,USD,220.02,5.12,1126.5,5,False
293,218,77,1437,AED,341.7,3.44,1175.45,3,False
294,160,54,1249,AED,490.65,3.32,1628.96,8,False
295,198,36,1037,SAR,274.75,4.22,1159.44,2,False
296,416,56,1044,USD,332.3,4.27,1418.92,5,False
297,247,17,1358,KWD,446.44,3.84,1714.33,5,False
298,324,10,1136,KWD,484.95,3.07,1488.8,1,True
299,439,44,1460,OMR,216.77,3.07,665.48,4,False
300,203,2,1366,OMR,424.9,4.06,1725.09,2,False
301,184,14,1304,SAR,296.57,3.35,993.51,3,True
302,123,41,1228,USD,232.2,2.96,687.31,3,True
303,401,2,1182,OMR,426.72,2.58,1100.94,5,True
304,255,19,1466,USD,341.29,2.9,989.74,7,True
305,294,1,1203,KWD,262.13,4.99,1308.03,7,True
306,280,2,1622,AED,415.23,2.97,1233.23,4,True
307,325,27,1067,KWD,266.33,2.51,668.49,1,False
308,372,2,1549,SAR,388.77,3.67,1426.79,2,True
309,98,51,1709,USD,300.28,5.28,1585.48,3,True
310,198,10,1304,AED,268.08,4.06,1088.4,2,True
311,470,19,1603,AED,211.91,2.53,536.13,6,False
312,395,13,1627,SAR,246.93,4.63,1143.29,3,True
313,240,48,1094,AED,480.38,3.7,1777.41,3,False
314,144,56,1724,USD,335.19,4.81,1612.26,3,False
315,97,72,1245,KWD,453.5,4.29,1945.52,7,True
316,201,56,1684,USD,428.16,2.92,1250.23,6,False
317,124,50,1078,OMR,407.64,3.92,1597.95,3,True
318,187,45,1432,AED,421.07,4.17,1755.86,5,True
319,326,59,1279,AED,250.3,4.0,1001.2,8,True
320,464,39,1660,USD,273.99,4.86,1331.59,7,False
321,349,21,1368,SAR,433.55,5.05,2189.43,2,True
322,259,55,1278,USD,400.37,4.5,1801.66,8,True
323,148,57,1350,KWD,443.49,2.61,1157.51,1,True
324,252,41,1225,SAR,405.73,3.56,1444.4,8,True
325,443,70,1405,AED,435.66,3.61,1572.73,8,False
326,420,49,1445,AED,374.82,3.17,1188.18,3,True
327,403,44,1322,SAR,445.08,3.78,1682.4,5,True
328,346,35,1629,SAR,297.08,3.06,909.06,5,False
329,451,5,1072,SAR,220.38,4.77,1051.21,8,False
330,147,71,1517,AED,260.39,5.0,1301.95,3,True
331,148,74,1320,AED,245.52,5.3,1301.26,6,True
332,352,74,1021,AED,341.71,2.54,867.94,8,True
333,199,51,1178,AED,471.34,4.12,1941.92,1,True
334,308,57,1707,AED,293.28,3.13,917.97,4,False
335,489,58,1108,USD,355.11,4.09,1452.4,8,True
336,417,36,1371,USD,444.52,2.71,1204.65,2,True
337,424,10,1696,USD,461.33,4.8,2214.38,4,False
338,128,50,1455,SAR,283.46,3.38,958.09,5,False
339,39,37,1566,AED,356.99,4.2,1499.36,1,True
340,338,20,1228,USD,276.91,4.89,1354.09,5,True
341,360,13,1530,SAR,325.84,3.8,1238.19,3,True
342,129,75,1363,KWD,317.69,5.48,1740.94,1,False
343,267,19,1424,OMR,219.22,4.92,1078.56,7,True
344,476,56,1215,KWD,208.2,3.77,784.91,1,False
345,441,45,1047,KWD,385.37,4.61,1776.56,5,True
346,473,60,1464,OMR,251.54,4.51,1134.45,1,True
347,434,68,1671,SAR,244.51,2.63,643.06,3,True
348,151,57,1272,OMR,307.45,3.61,1109.89,7,True
349,415,54,1607,SAR,269.43,4.08,1099.27,4,False
350,478,37,1029,KWD,423.64,3.75,1588.65,5,True
351,298,37,1632,OMR,394.78,3.05,1204.08,8,False
352,99,14,1189,KWD,488.71,4.48,2189.42,2,False
353,263,44,1151,OMR,320.61,5.46,1750.53,7,True
354,252,42,1375,OMR,207.96,3.52,732.02,5,True
355,144,1,1254,AED,454.05,5.38,2442.79,7,True
356,346,23,1702,USD,236.81,4.77,1129.58,6,False
357,112,64,1653,USD,280.64,3.48,976.63,7,True
358,500,28,1033,KWD,389.12,3.76,1463.09,7,True
359,60,4,1186,KWD,338.48,4.38,1482.54,5,True
360,369,41,1448,KWD,407.56,4.74,1931.83,4,False
361,2,60,1085,AED,258.14,4.74,1223.58,3,True
362,385,18,1672,AED,375.65,4.42,1660.37,2,False
363,304,63,1117,KWD,336.21,2.84,954.84,6,True
364,254,61,1622,AED,376.18,5.06,1903.47,5,False
365,140,49,1057,OMR,464.6,3.3,1533.18,2,False
366,453,47,1017,OMR,360.04,3.03,1090.92,3,True
367,37,39,1139,OMR,422.28,3.14,1325.96,5,False
368,160,6,1457,USD,423.23,2.62,1108.86,4,False
369,9,53,1705,OMR,398.62,4.71,1877.5,3,True
370,233,76,1641,USD,345.02,2.66,917.75,3,False
371,99,25,1211,OMR,201.01,2.63,528.66,1,True
372,147,65,1485,KWD,236.35,2.5,590.88,7,True
373,304,5,1119,USD,362.93,2.51,910.95,1,False
374,208,65,1553,AED,213.15,4.54,967.7,7,True
375,131,8,1002,USD,213.59,3.99,852.22,7,False
376,404,39,1228,SAR,237.84,4.52,1075.04,6,False
377,152,43,1228,USD,269.94,3.2,863.81,2,False
378,54,73,1342,OMR,499.89,4.66,2329.49,8,True
379,120,5,1140,OMR,236.1,3.43,809.82,1,False
380,161,4,1056,OMR,281.36,3.99,1122.63,4,False
381,408,1,1215,AED,404.86,5.09,2060.74,2,False
382,116,56,1642,KWD,403.0,2.69,1084.07,8,False
383,75,45,1113,USD,462.43,5.07,2344.52,8,True
384,113,65,1702,AED,383.2,3.49,1337.37,8,False
385,456,3,1293,SAR,279.74,3.24,906.36,1,False
386,420,22,1027,USD,271.77,5.05,1372.44,8,True
387,422,72,1537,OMR,448.97,4.59,2060.77,2,False
388,104,56,1595,AED,229.33,3.39,777.43,1,True
389,340,18,1320,AED,344.26,4.59,1580.15,6,True
390,254,25,1713,USD,344.85,5.21,1796.67,6,False
391,227,48,1572,AED,421.7,5.11,2154.89,8,True
392,112,31,1696,AED,498.65,4.92,2453.36,5,True
393,473,30,1512,AED,348.89,5.49,1915.41,8,True
394,99,66,1031,USD,432.62,3.01,1302.19,7,True
395,153,10,1410,OMR,455.46,4.75,2163.44,6,True
396,349,71,1396,AED,210.23,3.38,710.58,7,True
397,402,59,1016,AED,390.73,5.3,2070.87,7,False
398,384,51,1600,KWD,465.31,2.74,1274.95,6,True
399,366,9,1051,SAR,416.13,4.5,1872.58,6,True
400,338,54,1369,KWD,432.04,3.11,1343.64,5,False
401,194,62,1163,OMR,443.28,5.47,2424.74,3,False
402,310,9,1302,KWD,205.82,4.06,835.63,8,False
403,163,9,1449,USD,478.66,4.1,1962.51,6,True
404,208,24,1543,KWD,471.87,4.08,1925.23,4,False
405,445,39,1709,USD,380.39,4.78,1818.26,3,False
406,169,75,1501,KWD,304.65,5.41,1648.16,7,False
407,484,8,1350,KWD,310.7,5.38,1671.57,3,False
408,161,25,1378,SAR,360.57,3.2,1153.82,3,False
409,68,66,1438,USD,287.5,4.18,1201.75,4,False
410,289,10,1200,OMR,369.82,4.14,1531.05,4,False
411,398,24,1106,AED,385.37,2.87,1106.01,8,False
412,277,59,1504,OMR,418.54,4.59,1921.1,3,True
413,304,31,1383,KWD,219.74,4.78,1050.36,5,False
414,404,11,1295,OMR,220.03,5.11,1124.35,6,False
415,384,6,1027,KWD,476.75,4.71,2245.49,5,True
416,392,70,1336,KWD,423.35,2.86,1210.78,2,True
417,135,32,1286,AED,302.6,5.26,1591.68,8,False
418,195,39,1630,SAR,207.42,3.13,649.22,5,False
419,401,48,1342,SAR,382.81,4.33,1657.57,2,True
420,128,13,1030,AED,274.71,4.43,1216.97,4,False
421,33,59,1665,OMR,217.42,2.96,643.56,5,False
422,176,67,1486,USD,426.52,3.53,1505.62,3,False
423,460,56,1618,AED,493.0,3.4,1676.2,6,True
424,443,41,1250,KWD,424.15,4.63,1963.81,2,True
425,371,56,1362,SAR,233.63,4.37,1020.96,6,False
426,470,35,1106,SAR,310.32,3.77,1169.91,7,True
427,375,38,1505,OMR,274.47,3.0,823.41,4,False
428,22,67,1441,USD,312.21,4.72,1473.63,4,True
429,238,34,1116,AED,367.27,5.32,1953.88,2,True
430,158,76,1244,KWD,390.45,4.23,1651.6,6,True
431,38,70,1078,KWD,292.46,5.24,1532.49,2,True
432,230,11,1485,USD,402.28,4.93,1983.24,1,True
433,365,27,1022,OMR,405.3,5.35,2168.36,7,True
434,51,48,1196,USD,497.92,3.52,1752.68,1,True
435,438,24,1360,OMR,344.33,4.4,1515.05,1,True
436,264,18,1699,OMR,298.62,3.19,952.6,2,False
437,283,27,1426,AED,457.36,4.71,2154.17,4,True
438,27,54,1216,AED,250.46,5.45,1365.01,4,False
439,226,55,1665,KWD,334.06,3.46,1155.85,2,True
440,277,21,1706,SAR,387.96,2.7,1047.49,1,True
441,286,59,1627,OMR,242.75,5.42,1315.7,3,True
442,97,34,1195,KWD,216.38,2.59,560.42,1,False
443,284,58,1566,SAR,319.15,3.59,1145.75,4,False
444,367,48,1686,KWD,304.97,4.18,1274.77,7,True
445,448,54,1442,OMR,423.5,4.85,2053.98,2,True
446,481,18,1458,SAR,359.94,3.15,1133.81,2,False
447,453,3,1458,USD,206.81,2.66,550.11,5,False
448,317,24,1483,AED,475.74,4.59,2183.65,4,True
449,304,1,1143,AED,458.25,2.79,1278.52,7,False
450,147,6,1313,SAR,222.42,3.23,718.42,3,True
451,4,19,1728,SAR,276.47,3.3,912.35,3,False
452,35,43,1256,OMR,387.15,5.01,1939.62,7,False
453,192,8,1638,SAR,254.13,4.24,1077.51,8,True
454,49,69,1473,AED,492.15,3.86,1899.7,3,False
455,17,52,1684,OMR,326.21,2.58,841.62,5,True
456,172,73,1605,KWD,411.37,4.02,1653.71,5,False
457,220,47,1498,AED,353.37,4.64,1639.64,1,False
458,158,28,1218,USD,292.49,5.43,1588.22,3,True
459,477,46,1563,OMR,409.08,3.95,1615.87,3,True
460,46,4,1530,USD,342.61,4.17,1428.68,2,False
461,373,8,1357,SAR,390.74,3.46,1351.96,8,False
462,6,61,1236,KWD,317.92,4.95,1573.7,8,True
463,99,17,1682,SAR,499.21,4.12,2056.75,8,True
464,380,34,1274,AED,261.98,3.63,950.99,3,False
465,233,20,1671,KWD,254.93,2.85,726.55,7,False
466,37,74,1576,AED,202.83,5.18,1050.66,8,False
467,280,34,1216,KWD,461.16,4.9,2259.68,1,False
468,349,43,1558,USD,247.14,3.12,771.08,5,False
469,497,10,1396,AED,273.99,5.13,1405.57,6,False
470,302,30,1073,AED,261.91,4.17,1092.16,4,False
471,181,25,1675,SAR,493.77,4.81,2375.03,7,True
472,95,57,1709,OMR,455.92,4.45,2028.84,7,False
