payout_id,teacher_id,date_id,hours_taught,rate_per_hour,rate_basis,total_payout,currency,bonus
153,71,1728,8,1500,Standard,12000,PKR,500
154,81,1587,12,1300,Urgent,15600,PKR,500
155,9,1017,12,1500,Urgent,18000,PKR,0
156,25,1606,8,1700,Urgent,13600,PKR,500
157,16,1282,8,1700,Urgent,13600,PKR,1000
158,7,1041,12,1300,Standard,15600,PKR,0
159,61,1355,12,1700,Intro Offer,20400,PKR,1000
160,100,1079,12,1700,Standard,20400,PKR,0
161,23,1417,12,1300,Urgent,15600,PKR,1000
162,66,1691,8,1500,Urgent,12000,PKR,0
163,57,1387,12,1700,Standard,20400,PKR,1000
164,11,1115,10,1700,Intro Offer,17000,PKR,1000
165,14,1654,10,1300,Urgent,13000,PKR,500
166,19,1564,8,1700,Urgent,13600,PKR,500
167,96,1583,12,1700,Standard,20400,PKR,1000
168,19,1671,8,1500,Urgent,12000,PKR,500
169,31,1595,10,1300,Urgent,13000,PKR,1000
170,26,1354,8,1700,Urgent,13600,PKR,500
171,73,1203,8,1700,Intro Offer,13600,PKR,1000
172,44,1412,10,1700,Standard,17000,PKR,500
173,5,1704,8,1500,Urgent,12000,PKR,500
174,24,1370,8,1500,Intro Offer,12000,PKR,500
175,68,1506,10,1500,Urgent,15000,PKR,1000
176,21,1365,8,1500,Standard,12000,PKR,1000
177,86,1297,12,1500,Standard,18000,PKR,1000
178,17,1652,12,1700,Standard,20400,PKR,1000
179,58,1348,10,1300,Standard,13000,PKR,500
180,25,1045,10,1300,Intro Offer,13000,PKR,500
181,63,1083,10,1700,Standard,17000,PKR,1000
182,67,1392,12,1500,Standard,18000,PKR,1000
183,51,1424,8,1700,Standard,13600,PKR,500
184,60,1684,12,1300,Urgent,15600,PKR,1000
185,100,1065,8,1700,Standard,13600,PKR,500
186,51,1407,10,1700,Standard,17000,PKR,500
187,45,1386,12,1300,Intro Offer,15600,PKR,0
188,21,1440,12,1700,Intro Offer,20400,PKR,500
189,91,1568,12,1300,Standard,15600,PKR,0
190,73,1066,8,1500,Intro Offer,12000,PKR,500
191,8,1175,8,1700,Urgent,13600,PKR,500
192,47,1573,12,1700,Urgent,20400,PKR,0
193,59,1329,8,1500,Intro Offer,12000,PKR,1000
194,4,1472,8,1700,Intro Offer,13600,PKR,500
195,37,1465,10,1300,Intro Offer,13000,PKR,1000
196,80,1265,10,1700,Standard,17000,PKR,1000
197,58,1476,8,1300,Standard,10400,PKR,500
198,49,1576,12,1500,Intro Offer,18000,PKR,0
199,7,1251,12,1500,Urgent,18000,PKR,500
200,64,1653,10,1700,Intro Offer,17000,PKR,1000
201,18,1117,8,1300,Urgent,10400,PKR,0
202,65,1592,12,1500,Intro Offer,18000,PKR,1000
203,58,1696,8,1700,Standard,13600,PKR,500
204,69,1084,12,1300,Urgent,15600,PKR,0
205,83,1587,12,1300,Standard,15600,PKR,1000
206,82,1641,8,1700,Standard,13600,PKR,1000
207,80,1336,8,1500,Urgent,12000,PKR,1000
208,52,1235,10,1500,Intro Offer,15000,PKR,500
209,54,1496,12,1300,Intro Offer,15600,PKR,0
210,50,1075,12,1500,Standard,18000,PKR,0
211,12,1015,10,1500,Urgent,15000,PKR,500
212,18,1308,12,1500,Urgent,18000,PKR,500
213,71,1560,12,1300,Intro Offer,15600,PKR,500
214,22,1582,8,1300,Intro Offer,10400,PKR,1000
215,22,1040,10,1500,Urgent,15000,PKR,1000
216,3,1058,8,1700,Intro Offer,13600,PKR,500
217,24,1477,12,1700,Standard,20400,PKR,0
218,62,1103,10,1700,Urgent,17000,PKR,500
219,43,1489,10,1500,Intro Offer,15000,PKR,0
220,76,1571,12,1300,Intro Offer,15600,PKR,1000
221,40,1589,8,1300,Intro Offer,10400,PKR,1000
222,36,1007,8,1500,Intro Offer,12000,PKR,0
223,88,1008,12,1500,Urgent,18000,PKR,0
224,95,1553,12,1300,Standard,15600,PKR,1000
225,33,1070,12,1500,Intro Offer,18000,PKR,500
226,3,1629,10,1500,Intro Offer,15000,PKR,1000
227,71,1125,12,1300,Standard,15600,PKR,1000
228,77,1356,8,1300,Standard,10400,PKR,1000
229,17,1190,8,1500,Intro Offer,12000,PKR,500
230,74,1362,10,1700,Intro Offer,17000,PKR,0
231,26,1531,12,1300,Urgent,15600,PKR,1000
232,65,1646,12,1300,Urgent,15600,PKR,1000
233,3,1185,12,1500,Intro Offer,18000,PKR,500
234,42,1546,12,1700,Standard,20400,PKR,0
235,18,1018,10,1500,Intro Offer,15000,PKR,0
236,97,1160,12,1300,Intro Offer,15600,PKR,500
237,36,1150,8,1700,Intro Offer,13600,PKR,0
238,74,1621,12,1300,Standard,15600,PKR,500
239,12,1335,10,1700,Urgent,17000,PKR,1000
240,63,1516,12,1500,Standard,18000,PKR,1000
241,85,1314,8,1300,Standard,10400,PKR,500
242,67,1172,8,1300,Standard,10400,PKR,500
243,75,1254,8,1300,Intro Offer,10400,PKR,0
244,32,1398,12,1500,Urgent,18000,PKR,500
245,23,1634,12,1700,Standard,20400,PKR,500
246,45,1589,8,1500,Urgent,12000,PKR,0
247,99,1437,12,1500,Standard,18000,PKR,1000
248,49,1434,12,1700,Urgent,20400,PKR,0
249,11,1257,8,1300,Intro Offer,10400,PKR,1000
250,14,1313,10,1500,Urgent,15000,PKR,500
251,99,1698,10,1700,Intro Offer,17000,PKR,500
252,46,1015,12,1300,Standard,15600,PKR,1000
253,93,1138,12,1300,Urgent,15600,PKR,0
254,18,1045,10,1500,Standard,15000,PKR,0
255,41,1691,12,1700,Standard,20400,PKR,500
256,53,1201,10,1500,Intro Offer,15000,PKR,1000
257,39,1635,8,1700,Standard,13600,PKR,1000
258,29,1027,8,1300,Intro Offer,10400,PKR,0
259,80,1291,8,1300,Standard,10400,PKR,500
260,5,1020,8,1700,Standard,13600,PKR,0
261,1,1361,12,1500,Standard,18000,PKR,0
262,70,1584,12,1500,Intro Offer,18000,PKR,500
263,40,1534,8,1700,Intro Offer,13600,PKR,500
264,53,1359,8,1500,Intro Offer,12000,PKR,0
265,34,1535,8,1300,Standard,10400,PKR,500
266,74,1506,10,1300,Urgent,13000,PKR,0
267,8,1109,12,1700,Standard,20400,PKR,1000
268,61,1082,8,1500,Standard,12000,PKR,1000
269,45,1273,8,1500,Urgent,12000,PKR,500
270,84,1309,10,1500,Urgent,15000,PKR,1000
271,29,1529,12,1700,Urgent,20400,PKR,1000
272,97,1715,10,1700,Intro Offer,17000,PKR,1000
273,86,1418,12,1300,Standard,15600,PKR,0
274,66,1091,12,1700,Urgent,20400,PKR,500
275,45,1290,8,1300,Intro Offer,10400,PKR,0
276,99,1373,12,1300,Intro Offer,15600,PKR,500
277,79,1038,8,1700,Standard,13600,PKR,0
278,28,1205,10,1700,Urgent,17000,PKR,1000
279,87,1093,8,1300,Urgent,10400,PKR,0
280,75,1050,10,1500,Intro Offer,15000,PKR,0
281,51,1067,8,1300,Urgent,10400,PKR,0
282,73,1444,12,1700,Intro Offer,20400,PKR,1000
283,29,1214,8,1500,Urgent,12000,PKR,0
284,96,1368,12,1300,Standard,15600,PKR,1000
285,61,1434,10,1300,Intro Offer,13000,PKR,1000
286,40,1409,8,1500,Intro Offer,12000,PKR,500
287,82,1308,10,1300,Urgent,13000,PKR,1000
288,23,1183,12,1300,Urgent,15600,PKR,0
289,34,1142,12,1500,Intro Offer,18000,PKR,0
290,66,1590,10,1500,Urgent,15000,PKR,1000
291,63,1133,8,1500,Urgent,12000,PKR,500
292,29,1684,12,1300,Urgent,15600,PKR,0
293,40,1162,8,1500,Intro Offer,12000,PKR,500
294,65,1137,10,1700,Urgent,17000,PKR,500
295,97,1378,10,1700,Urgent,17000,PKR,500
296,71,1434,12,1300,Urgent,15600,PKR,1000
297,22,1342,8,1500,Urgent,12000,PKR,1000
298,5,1131,8,1700,Urgent,13600,PKR,500
299,87,1474,8,1500,Standard,12000,PKR,500
300,56,1678,8,1500,Intro Offer,12000,PKR,500
301,38,1244,8,1700,Urgent,13600,PKR,500
302,65,1510,12,1700,Intro Offer,20400,PKR,0
303,39,1470,8,1700,Urgent,13600,PKR,0
304,69,1343,12,1500,Urgent,18000,PKR,1000
305,80,1265,8,1700,Standard,13600,PKR,0
306,63,1376,12,1300,Standard,15600,PKR,500
307,12,1012,10,1700,Intro Offer,17000,PKR,500
308,43,1721,10,1700,Standard,17000,PKR,1000
309,85,1192,8,1700,Urgent,13600,PKR,500
310,73,1222,8,1500,Intro Offer,12000,PKR,1000
311,43,1035,8,1700,Urgent,13600,PKR,1000
312,57,1665,8,1700,Intro Offer,13600,PKR,1000
313,43,1515,8,1300,Intro Offer,10400,PKR,500
314,33,1105,12,1500,Standard,18000,PKR,0
315,81,1471,8,1500,Urgent,12000,PKR,1000
316,44,1008,10,1500,Standard,15000,PKR,1000
317,82,1124,8,1700,Standard,13600,PKR,500
318,94,1242,12,1300,Intro Offer,15600,PKR,1000
319,49,1452,10,1300,Urgent,13000,PKR,0
320,43,1593,12,1500,Standard,18000,PKR,0
321,45,1074,10,1500,Urgent,15000,PKR,0
322,42,1612,12,1300,Intro Offer,15600,PKR,500
323,30,1207,12,1700,Urgent,20400,PKR,0
324,58,1570,8,1300,Urgent,10400,PKR,0
325,49,1036,12,1700,Urgent,20400,PKR,500
326,39,1158,12,1700,Intro Offer,20400,PKR,0
327,47,1198,12,1300,Intro Offer,15600,PKR,0
328,81,1037,12,1500,Standard,18000,PKR,1000
329,17,1114,10,1500,Standard,15000,PKR,0
330,59,1509,8,1500,Standard,12000,PKR,500
331,85,1580,12,1300,Intro Offer,15600,PKR,0
332,8,1339,12,1700,Standard,20400,PKR,1000
333,98,1359,8,1300,Standard,10400,PKR,1000
334,77,1194,12,1700,Intro Offer,20400,PKR,0
335,4,1617,10,1300,Standard,13000,PKR,0
336,25,1049,8,1700,Intro Offer,13600,PKR,500
337,83,1576,8,1700,Urgent,13600,PKR,1000
338,51,1448,10,1500,Urgent,15000,PKR,1000
339,17,1214,12,1500,Standard,18000,PKR,1000
340,50,1430,10,1700,Intro Offer,17000,PKR,500
341,15,1429,8,1700,Standard,13600,PKR,0
342,59,1453,10,1500,Standard,15000,PKR,500
343,96,1179,10,1500,Standard,15000,PKR,0
344,3,1680,12,1500,Standard,18000,PKR,500
345,5,1237,10,1700,Urgent,17000,PKR,1000
346,55,1084,10,1700,Standard,17000,PKR,1000
347,65,1196,8,1700,Standard,13600,PKR,1000
348,48,1505,12,1700,Urgent,20400,PKR,1000
349,92,1148,8,1500,Urgent,12000,PKR,1000
350,49,1036,12,1300,Urgent,15600,PKR,0
351,81,1393,10,1300,Intro Offer,13000,PKR,1000
352,13,1458,8,1500,Intro Offer,12000,PKR,0
353,85,1415,12,1700,Standard,20400,PKR,0
354,72,1119,12,1300,Standard,15600,PKR,0
355,26,1120,10,1500,Intro Offer,15000,PKR,0
356,63,1200,10,1500,Standard,15000,PKR,1000
357,90,1077,10,1500,Standard,15000,PKR,0
358,74,1597,10,1300,Standard,13000,PKR,500
359,74,1013,12,1700,Standard,20400,PKR,1000
360,1,1069,8,1500,Standard,12000,PKR,0
361,65,1527,8,1700,Standard,13600,PKR,1000
362,1,1389,10,1500,Standard,15000,PKR,1000
363,80,1199,8,1700,Standard,13600,PKR,0
364,74,1321,10,1700,Standard,17000,PKR,0
365,5,1236,12,1500,Standard,18000,PKR,1000
366,16,1643,12,1300,Intro Offer,15600,PKR,1000
367,81,1078,8,1700,Intro Offer,13600,PKR,1000
368,75,1267,8,1500,Standard,12000,PKR,0
369,61,1603,8,1300,Urgent,10400,PKR,500
370,64,1143,8,1500,Intro Offer,12000,PKR,500
371,89,1163,8,1700,Urgent,13600,PKR,1000
372,67,1205,8,1500,Intro Offer,12000,PKR,1000
373,82,1606,10,1500,Urgent,15000,PKR,1000
374,82,1022,12,1300,Standard,15600,PKR,500
375,93,1171,10,1700,Urgent,17000,PKR,0
376,68,1374,12,1300,Standard,15600,PKR,500
377,55,1337,10,1300,Urgent,13000,PKR,0
378,37,1133,10,1700,Intro Offer,17000,PKR,0
379,89,1711,8,1300,Urgent,10400,PKR,500
380,71,1618,8,1300,Urgent,10400,PKR,1000
381,93,1372,8,1700,Standard,13600,PKR,0
382,11,1130,8,1700,Standard,13600,PKR,1000
383,25,1491,8,1700,Standard,13600,PKR,1000
384,18,1503,12,1700,Urgent,20400,PKR,1000
385,4,1444,8,1500,Urgent,12000,PKR,500
386,33,1194,8,1500,Standard,12000,PKR,1000
387,35,1231,8,1500,Urgent,12000,PKR,1000
388,34,1021,8,1700,Standard,13600,PKR,0
389,75,1269,10,1300,Standard,13000,PKR,500
390,77,1654,8,1300,Intro Offer,10400,PKR,1000
391,63,1109,12,1700,Urgent,20400,PKR,1000
392,69,1371,8,1700,Urgent,13600,PKR,1000
393,80,1157,10,1500,Standard,15000,PKR,500
394,67,1509,8,1700,Standard,13600,PKR,500
395,78,1619,10,1300,Urgent,13000,PKR,500
396,72,1718,8,1300,Urgent,10400,PKR,0
397,49,1549,10,1300,Standard,13000,PKR,1000
398,5,1679,12,1700,Intro Offer,20400,PKR,500
399,80,1511,10,1300,Intro Offer,13000,PKR,500
400,52,1456,8,1500,Urgent,12000,PKR,0
401,73,1478,12,1300,Standard,15600,PKR,1000
402,90,1608,12,1300,Urgent,15600,PKR,0
403,44,1362,8,1500,Urgent,12000,PKR,1000
404,56,1036,8,1500,Urgent,12000,PKR,0
405,93,1707,12,1700,Standard,20400,PKR,500
406,31,1305,12,1700,Urgent,20400,PKR,1000
407,64,1590,10,1500,Standard,15000,PKR,0
408,11,1368,10,1300,Intro Offer,13000,PKR,0
409,53,1004,10,1300,Standard,13000,PKR,0
410,22,1104,8,1300,Urgent,10400,PKR,1000
411,29,1314,10,1300,Standard,13000,PKR,1000
412,82,1654,8,1700,Standard,13600,PKR,500
413,87,1221,10,1500,Standard,15000,PKR,0
414,5,1600,12,1500,Intro Offer,18000,PKR,500
415,57,1519,8,1700,Urgent,13600,PKR,1000
416,11,1274,12,1500,Urgent,18000,PKR,0
417,47,1046,12,1700,Standard,20400,PKR,0
418,87,1347,12,1300,Urgent,15600,PKR,0
419,97,1017,8,1300,Urgent,10400,PKR,1000
420,86,1614,12,1500,Intro Offer,18000,PKR,1000
421,51,1709,10,1500,Standard,15000,PKR,500
422,26,1223,8,1300,Standard,10400,PKR,1000
423,35,1387,8,1500,Urgent,12000,PKR,0
424,65,1247,12,1500,Intro Offer,18000,PKR,500
425,68,1387,8,1300,Urgent,10400,PKR,500
426,54,1091,12,1700,Urgent,20400,PKR,1000
427,36,1230,10,1300,Urgent,13000,PKR,0
428,72,1560,10,1500,Urgent,15000,PKR,0
429,96,1123,8,1700,Urgent,13600,PKR,0
430,54,1128,10,1500,Urgent,15000,PKR,0
431,18,1680,12,1700,Intro Offer,20400,PKR,1000
432,56,1087,10,1700,Urgent,17000,PKR,500
433,13,1344,8,1500,Standard,12000,PKR,500
434,66,1639,12,1500,Standard,18000,PKR,1000
435,52,1628,10,1500,Intro Offer,15000,PKR,1000
436,16,1612,8,1700,Urgent,13600,PKR,1000
437,15,1368,12,1300,Urgent,15600,PKR,0
438,54,1435,10,1500,Urgent,15000,PKR,500
439,31,1209,12,1300,Urgent,15600,PKR,1000
440,76,1693,12,1300,Urgent,15600,PKR,500
441,13,1184,8,1500,Urgent,12000,PKR,500
442,33,1174,10,1700,Urgent,17000,PKR,1000
443,10,1341,10,1300,Intro Offer,13000,PKR,0
444,90,1022,8,1500,Standard,12000,PKR,500
445,82,1366,10,1500,Standard,15000,PKR,0
446,100,1066,12,1500,Intro Offer,18000,PKR,500
447,61,1727,12,1500,Standard,18000,PKR,500
448,93,1079,10,1500,Intro Offer,15000,PKR,1000
449,11,1470,12,1700,Intro Offer,20400,PKR,0
450,51,1108,10,1700,Intro Offer,17000,PKR,500
451,25,1319,12,1500,Urgent,18000,PKR,500
452,30,1706,10,1300,Urgent,13000,PKR,500
453,18,1004,8,1700,Urgent,13600,PKR,0
454,74,1621,8,1300,Urgent,10400,PKR,0
455,92,1131,8,1700,Urgent,13600,PKR,0
456,93,1152,8,1300,Intro Offer,10400,PKR,500
457,93,1348,12,1700,Urgent,20400,PKR,0
458,75,1266,10,1700,Intro Offer,17000,PKR,0
459,71,1443,10,1700,Urgent,17000,PKR,0
460,30,1082,10,1700,Standard,17000,PKR,500
461,92,1283,10,1700,Standard,17000,PKR,1000
462,9,1247,10,1700,Standard,17000,PKR,0
463,52,1514,8,1700,Standard,13600,PKR,500
464,93,1683,10,1500,Urgent,15000,PKR,500
465,72,1540,12,1700,Intro Offer,20400,PKR,0
466,60,1454,12,1300,Intro Offer,15600,PKR,1000
467,12,1140,8,1300,Standard,10400,PKR,1000
468,2,1287,12,1300,Intro Offer,15600,PKR,1000
469,75,1361,12,1700,Standard,20400,PKR,500
470,75,1179,10,1300,Standard,13000,PKR,0
471,22,1098,8,1700,Urgent,13600,PKR,1000
472,63,1664,8,1300,Standard,10400,PKR,1000
473,53,1195,10,1700,Standard,17000,PKR,500
474,30,1138,8,1700,Intro Offer,13600,PKR,500
475,14,1513,8,1500,Urgent,12000,PKR,0
476,3,1100,10,1300,Urgent,13000,PKR,0
477,70,1691,10,1500,Intro Offer,15000,PKR,1000
478,3,1672,8,1700,Intro Offer,13600,PKR,0
479,76,1496,10,1700,Urgent,17000,PKR,500
480,24,1443,10,1300,Urgent,13000,PKR,0
481,86,1254,10,1300,Intro Offer,13000,PKR,0
482,68,1574,12,1700,Intro Offer,20400,PKR,1000
483,15,1135,8,1300,Intro Offer,10400,PKR,1000
484,80,1153,12,1300,Standard,15600,PKR,1000
485,49,1058,12,1700,Intro Offer,20400,PKR,1000
486,81,1664,12,1700,Urgent,20400,PKR,0
487,52,1230,8,1700,Urgent,13600,PKR,0
488,72,1124,12,1300,Urgent,15600,PKR,500
489,31,1353,10,1300,Standard,13000,PKR,1000
490,16,1728,10,1700,Standard,17000,PKR,500
491,52,1608,8,1300,Urgent,10400,PKR,0
492,58,1408,12,1300,Urgent,15600,PKR,1000
493,53,1379,12,1500,Intro Offer,18000,PKR,500
494,21,1482,10,1300,Standard,13000,PKR,0
495,90,1502,8,1500,Intro Offer,12000,PKR,500
496,36,1107,8,1700,Urgent,13600,PKR,1000
497,86,1014,10,1700,Intro Offer,17000,PKR,500
498,74,1487,8,1700,Standard,13600,PKR,500
499,12,1149,8,1300,Urgent,10400,PKR,500
500,90,1326,12,1300,Standard,15600,PKR,0
501,43,1653,12,1300,Intro Offer,15600,PKR,500
502,100,1459,12,1300,Standard,15600,PKR,500
503,6,1408,10,1300,Urgent,13000,PKR,0
504,1,1703,10,1500,Standard,15000,PKR,500
505,23,1438,12,1300,Intro Offer,15600,PKR,0
506,68,1256,8,1500,Intro Offer,12000,PKR,0
507,44,1626,8,1700,Urgent,13600,PKR,500
508,45,1610,8,1300,Intro Offer,10400,PKR,0
509,82,1130,12,1700,Urgent,20400,PKR,500
510,13,1086,10,1300,Intro Offer,13000,PKR,1000
511,47,1231,10,1500,Standard,15000,PKR,500
512,57,1044,12,1300,Urgent,15600,PKR,1000
513,14,1250,12,1300,Urgent,15600,PKR,1000
514,88,1699,12,1300,Intro Offer,15600,PKR,0
515,80,1636,12,1500,Urgent,18000,PKR,1000
516,13,1566,8,1300,Urgent,10400,PKR,500
517,94,1273,10,1700,Urgent,17000,PKR,0
518,52,1260,10,1500,Urgent,15000,PKR,0
519,80,1191,8,1300,Urgent,10400,PKR,0
520,20,1674,8,1500,Standard,12000,PKR,500
521,38,1067,8,1700,Standard,13600,PKR,0
522,36,1029,8,1300,Urgent,10400,PKR,500
